policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
METROLOGY_CONDITIONED_EIG,330015,19.55020361035667,0.8530615694539038,22.041934645843615,59,0,0,0,185,30,12,15,1000,100
NO_PASSIVE,330016,140.39016510362717,0.29075011052880795,445.27907653515393,0,0,0,0,116,30,12,15,1000,100
RANDOM,330016,25.163186131262428,1.502975076722592,37.77697391252639,51,1,0,0,116,30,12,15,1000,100
HIGHEST_SNR,330016,32.458768578008275,0.3576896192609773,42.96346453956011,52,0,0,0,116,30,12,15,1000,100
SHORTEST_PULSE,330016,13.092714862552596,0.42251636365428324,33.036447183460446,52,0,0,0,116,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330016,9.769547948955212,0.5681489530120689,32.700995100838085,52,0,0,0,116,30,12,15,1000,100
NO_PASSIVE,330017,544.6117559085898,0.3605858148473142,445.27907653515393,0,0,0,0,74,30,12,15,1000,100
RANDOM,330017,48.22592473710619,0.5660013196157732,49.81020370921576,44,0,0,0,74,30,12,15,1000,100
HIGHEST_SNR,330017,57.47286006097289,1.0663621638998324,47.36721224514703,44,0,0,0,74,30,12,15,1000,100
SHORTEST_PULSE,330017,30.786660699554268,0.39646645429922933,39.81560766559659,44,0,0,0,74,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330017,23.136861664065556,0.20753072916831572,37.44309486622751,44,0,0,0,74,30,12,15,1000,100
NO_PASSIVE,330018,312.6463659990513,1.4969755722075953,445.27907653515393,0,0,0,0,114,30,12,15,1000,100
RANDOM,330018,24.212711658401915,0.3071275333889473,22.83158385178216,60,0,0,0,114,30,12,15,1000,100
HIGHEST_SNR,330018,18.230546529089125,0.49124699065442856,26.53797563063688,60,0,0,0,114,30,12,15,1000,100
SHORTEST_PULSE,330018,34.21779217024683,0.8775373157083021,23.42908303125458,60,0,0,0,114,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330018,16.017582204342673,0.6016073977656747,20.991767554467607,59,1,0,0,114,30,12,15,1000,100
NO_PASSIVE,330019,501.41066571867435,0.47145398151193235,445.27907653515393,0,0,0,0,167,30,12,15,1000,100
RANDOM,330019,50.5635548325977,1.2646390816828241,26.139641707268417,57,2,0,0,167,30,12,15,1000,100
HIGHEST_SNR,330019,7.923443978898731,0.5124730791139374,34.48703953944038,57,2,0,0,167,30,12,15,1000,100
SHORTEST_PULSE,330019,19.38913187847355,0.3934693555809911,28.254548067356534,58,1,0,0,167,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330019,46.66834562977009,1.20354806294695,21.694371781264447,58,1,0,0,167,30,12,15,1000,100
NO_PASSIVE,330020,430.78477192693083,3.3244208214800657,445.27907653515393,0,0,0,0,183,30,12,15,1000,100
RANDOM,330020,34.96903065602972,1.030544965844527,31.285253575892693,48,0,0,0,183,30,12,15,1000,100
HIGHEST_SNR,330020,68.49317041730265,1.2103991436410806,50.47699523270329,47,1,0,0,183,30,12,15,1000,100
SHORTEST_PULSE,330020,66.52071661687897,0.6173731736751297,36.527879044851,46,2,0,0,183,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330020,20.15727909522627,0.4327634690814374,27.631086996096872,47,1,0,0,183,30,12,15,1000,100
NO_PASSIVE,330021,492.4389772220098,2.2388793476136617,445.27907653515393,0,0,0,0,150,30,12,15,1000,100
RANDOM,330021,9.108567944873238,0.7982917843579987,26.847759196685026,59,0,0,0,150,30,12,15,1000,100
HIGHEST_SNR,330021,33.29124893719045,0.8085200152932934,27.38400746322725,58,1,0,0,150,30,12,15,1000,100
SHORTEST_PULSE,330021,10.815270504404525,0.3751099391000719,20.124806028009136,59,0,0,0,150,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330021,18.067322218147364,0.7306341259339402,20.296583688503762,58,1,0,0,150,30,12,15,1000,100
NO_PASSIVE,330022,708.9028242443121,3.6424622547024095,445.27907653515393,0,0,0,0,212,30,12,15,1000,100
RANDOM,330022,6.108916259589527,0.47029707266170456,26.773365454647397,59,1,0,0,212,30,12,15,1000,100
HIGHEST_SNR,330022,75.52950264327929,2.2782993564062353,45.88360434907096,60,0,0,0,212,30,12,15,1000,100
SHORTEST_PULSE,330022,0.9890783568598401,0.36012904769452114,17.958497402603534,60,0,0,0,212,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330022,2.8075069881625256,0.2305530138449748,17.708011429804067,59,1,0,0,212,30,12,15,1000,100
NO_PASSIVE,330023,968.7840969752323,2.7245434702207088,445.27907653515393,0,0,0,0,102,30,12,15,1000,100
