policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
SHORTEST_PULSE,302002,28.13809539762613,0.9589942768013285,39.09684799320189,29,0,0,0,42,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302002,15.96025177300623,0.695064581289917,38.632412557311646,29,0,0,0,42,2,4,5,10,100
NO_PASSIVE,302003,222.2473171407806,2.477732637728608,445.27923823147125,0,0,0,0,1,2,4,5,10,100
RANDOM,302003,166.42593251814841,2.5839593526394635,322.090721642406,1,0,0,0,1,2,4,5,10,100
HIGHEST_SNR,302003,166.42593251814841,2.5839593526394635,322.090721642406,1,0,0,0,1,2,4,5,10,100
SHORTEST_PULSE,302003,166.42593251814841,2.5839593526394635,322.090721642406,1,0,0,0,1,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302003,166.42593251814841,2.5839593526394635,322.090721642406,1,0,0,0,1,2,4,5,10,100
NO_PASSIVE,302004,166.68352588424636,1.4454875399036522,445.27923823147125,0,0,0,0,26,2,4,5,10,100
RANDOM,302004,39.214585050536876,0.3348836438683234,47.67832751357726,23,0,0,0,26,2,4,5,10,100
HIGHEST_SNR,302004,41.712673600083455,0.3536458077063184,47.94603461439936,23,0,0,0,26,2,4,5,10,100
SHORTEST_PULSE,302004,41.712673600083455,0.3536458077063184,47.94603461439936,23,0,0,0,26,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302004,38.819664572017544,0.30077829843610276,47.61508666263479,23,0,0,0,26,2,4,5,10,100
NO_PASSIVE,302005,841.4655230845931,2.841215041871043,445.27923823147125,0,0,0,0,2,2,4,5,10,100
RANDOM,302005,487.38403042627266,2.729185038410971,329.1968151368477,2,0,0,0,2,2,4,5,10,100
HIGHEST_SNR,302005,487.38403042627266,2.729185038410971,329.1968151368477,2,0,0,0,2,2,4,5,10,100
SHORTEST_PULSE,302005,487.38403042627266,2.729185038410971,329.1968151368477,2,0,0,0,2,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302005,487.38403042627266,2.729185038410971,329.1968151368477,2,0,0,0,2,2,4,5,10,100
NO_PASSIVE,302006,502.65742406818424,1.1137595617596059,445.27923823147125,0,0,0,0,27,2,4,5,10,100
RANDOM,302006,43.254941793996764,1.0792278571517306,187.72902468338563,27,0,0,0,27,2,4,5,10,100
