policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma,maneuver_deg,assoc_error_prob,outlier_prob
HIGHEST_SNR,502003,12.258685298160925,0.3714039877514664,31.699228845861338,53,0,0,0,104,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502003,21.234002904591627,0.8628296777309395,34.11654972021169,52,1,0,0,104,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502003,12.491472293628808,0.3544789936888075,26.87148943843847,52,1,0,0,104,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502004,577.6997857104544,4.582849514052134,445.27923823147125,0,0,0,0,69,2,12,10,100,30,0,0.0,0.05
RANDOM,502004,39.750736511282085,0.5323750806722988,33.008279797376076,43,7,0,0,69,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502004,50.85674751446564,1.048790106755958,32.985644078961485,43,7,0,0,69,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502004,39.868023712846075,1.4039238966678151,31.376612704348965,42,8,0,0,69,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502004,39.17589920112616,1.4032376814598273,31.3988897408347,42,8,0,0,69,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502005,250.88000767147813,1.0122453769964914,445.27923823147125,0,0,0,0,88,2,12,10,100,30,0,0.0,0.05
RANDOM,502005,18.820524468310442,1.33348837386852,30.46889073810292,48,2,0,0,88,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502005,9.059787770317556,0.9424684853925315,41.24781903670347,48,2,0,0,88,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502005,16.07795510909086,0.5807257623846142,35.50179305317993,47,3,0,0,88,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502005,7.537935812674982,0.75090297399728,28.606852321883995,48,2,0,0,88,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502006,379.9973854639481,1.6965402744411118,445.27923823147125,0,0,0,0,31,2,12,10,100,30,0,0.0,0.05
RANDOM,502006,13.07590087468726,0.2942659449110362,80.28855472011195,25,3,0,0,31,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502006,14.237963944786133,0.28099205729546334,90.11035808174309,25,3,0,0,31,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502006,15.901751671059248,0.4643357900491248,44.39446263788147,25,3,0,0,31,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502006,15.901751671059248,0.4643357900491248,44.39446263788147,25,3,0,0,31,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502007,383.59592219566105,1.1416371463535728,445.27923823147125,0,0,0,0,36,2,12,10,100,30,0,0.0,0.05
RANDOM,502007,41.51311953096959,1.375355784812428,27.624635097247104,29,1,0,0,36,2,12,10,100,30,0,0.0,0.05
HIGHEST_SNR,502007,19.707784451954026,1.3587681049858067,27.38041754696622,29,1,0,0,36,2,12,10,100,30,0,0.0,0.05
SHORTEST_PULSE,502007,26.374523913035773,1.0471184656073471,27.242222564512367,29,1,0,0,36,2,12,10,100,30,0,0.0,0.05
METROLOGY_CONDITIONED_EIG,502007,25.33345613742713,0.8629344657076603,27.223815466169977,29,1,0,0,36,2,12,10,100,30,0,0.0,0.05
NO_PASSIVE,502008,113.60223882493733,1.4647928084475446,445.27923823147125,0,0,0,0,90,2,12,10,100,30,0,0.0,0.05
RANDOM,502008,4.674020056813571,0.2050410800337653,31.224592552101136,56,1,0,0,90,2,12,10,100,30,0,0.0,0.05
